Activity Name,Location,Price Level,Num Reviews,Hours of Operations,Address,Tags,Min Age,Max Age,Min Group Size,Max Group Size,Event Duration
plant & seed swap,"Durham, NC",1,0,,"Durham, NC","['Social', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Spring']",0,100,1,100,2
4th annual durham bee day celebration,"Durham, NC",1,0,,"Durham, NC, USA","['Educational', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Summer']",0,100,1,100,4
rhythm & reels concert & movie series,"Durham, NC",1,,,"Durham Central Park, 501 Foster St, Durham, NC 27701","['Entertainment', 'Concert', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Summer']",,,,,2.5
july 4th celebration,"Durham, NC",1,0,,"Durham, NC, USA","['Entertainment', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Summer']",0,100,1,10000,4
durham fiesta latina,"Durham, NC",4,0,,"311 E Trinity Ave, Durham, NC 27701","['Cultural', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,1000,6
juneteenth celebration,"Durham, NC",1,5,,"Durham, NC","['Cultural', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Summer']",0,100,1,1000,6
fall festivals,"Durham, NC",3,100,,"Durham, NC","['Entertainment', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Fall']",0,100,1,100,6
southern seasonal: welcome fall!,"Durham, NC",2,120,,"5959 Holly Springs Pkwy, Holly Springs, NC 27540","['Entertainment', 'Seasonal', 'Mixed', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Fall']",0,,,,4
barktoberfest,"Durham, NC",1,0,,"Durham, NC (Check specific event listing for exact address as it may vary year to year)","['Entertainment', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Fall']",0,,1,,4
thanksgiving market,"Durham, NC",1,10,,"Durham Central Park, 501 Foster St, Durham, NC 27701","['Social', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Fall']",0,100,1,100,4
santa paws,"Durham, NC",1,5,,"Durham, NC","['Entertainment', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Winter']",0,100,1,10,3
senior holiday party,"Durham, NC",1,0,,,"['Social', 'Seasonal', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Winter']",55,,1,,2.5
holiday parade,"Durham, NC",1,10,,"Downtown Durham, Durham, NC","['Entertainment', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Winter']",0,100,1,1000,2
solstice: a winter circus experience,"Durham, NC",3,0,,"723 Rigsbee Ave, Durham, NC 27701","['Entertainment', 'Seasonal', 'Indoor', 'Family-Friendly', 'Low', 'Expensive', 'Winter']",0,,,,2
durham farmers market (winter),"Durham, NC",1,100,,"501 Foster St, Durham, NC 27701","['Social', 'Seasonal', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Winter']",0,100,1,100,2
first day hike (eno river state park),"Durham, NC",1,,,"6101 Cole Mill Rd, Durham, NC 27705","['Adventure', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",,,,,2
nc science festival events,"Durham, NC",1,0,,"Durham, NC (Various Locations)","['Educational', 'Festival', 'Mixed', 'Family-Friendly', 'Low', 'Free', 'Spring']",0,100,1,100,4
easter at the jug,"Durham, NC",2,0,,"8300 Old Stage Rd, Bahama, NC 27503","['Family-Friendly', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Spring']",0,100,1,100,3
20th annual strawberry festival,"Durham, NC",1,10,,Not Available,"['Entertainment', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Spring']",0,100,1,100,6
geek and grub market (may the 4th be with you edition),"Durham, NC",1,5,,"Durham Central Park, 501 Foster St, Durham, NC 27701","['Entertainment', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Spring']",0,100,1,100,6
taste of soul nc,"Durham, NC",1,0,,"Durham, NC, USA","['Cultural', 'Festival', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,99,1,100,6
durham craft market (saturdays),"Durham, NC",1,50,,"805 Gilbert St, Durham, NC 27701","['Entertainment', 'Market', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",0,100,1,100,4
art market durham (saturdays),"Durham, NC",1,24,,"501 Foster St, Durham, NC 27701","['Cultural', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,100,1,10,4
south durham farmers market (saturdays),"Durham, NC",1,100,,"5410 Page Rd, Durham, NC 27703","['Social', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",0,100,1,100,3
go ape treetop adventure - durham,,2,163,,"1600 W Carver St, Durham, NC 27704","['Adventure', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Medium', 'Budget-Friendly', 'Year-Round']",10,,,,2.5
kersey valley zipline,,2,1367,,"1615 Kersey Valley Rd, Archdale, NC 27263","['Adventure', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Medium', 'Budget-Friendly', 'Year-Round']",5,,1,,2
paraclete xp indoor skydiving,,3,4300,,"190 Paraclete Dr, Raeford, NC 28376","['Adventure', 'Meetup', 'Indoor', 'Family-Friendly', 'Medium', 'Expensive', 'Year-Round']",3,,1,12,1.5
skydive central nc,"Durham, NC",4,179,,"4900A Central Carolina Dr, Sanford, NC 27330","['Adventure', 'Meetup', 'Outdoor', 'Adults-Only', 'High', 'Expensive', 'Year-Round']",18,,1,10,2
triangle rock club - climbing,,2,224,,"1010 Oval Dr, Durham, NC 27705","['Adventure', 'Meetup', 'Indoor', 'Family-Friendly', 'Medium', 'Budget-Friendly', 'Year-Round']",5,,1,,2
eno river hiking (difficult trails),,1,200,,"6101 Cole Mill Rd, Durham, NC 27705","['Adventure', 'Meetup', 'Outdoor', 'Adults-Only', 'High', 'Free', 'Year-Round']",18,,1,15,3
west point mtb trails,,1,25,,"4300 Erwin Rd, Durham, NC 27705","['Adventure', 'Meetup', 'Outdoor', 'Adults-Only', 'High', 'Free', 'Year-Round']",16,65,1,10,2
eno river kayaking (long trip),,2,220,,"6101 Cole Mill Rd, Durham, NC 27705","['Adventure', 'Meetup', 'Outdoor', 'Adults-Only', 'Medium', 'Budget-Friendly', 'Year-Round']",16,,1,10,3
pilot mountain rock climbing,,1,,,"1792 Pilot Knob Park Rd, Pinnacle, NC 27043","['Adventure', 'Meetup', 'Outdoor', 'Adults-Only', 'High', 'Budget-Friendly', 'Year-Round']",18,,1,,4
haw river hiking (challenging),"Durham, NC",4,,,"Durham, NC","['Adventure', 'Meetup', 'Outdoor', 'Adults-Only', 'High', 'Free', 'Year-Round']",,,1,,
harris lake mtb trails (advanced),"Durham, NC",1,50,,"2112 County Durham Dr, Durham, NC 27703","['Adventure', 'Meetup', 'Outdoor', 'Adults-Only', 'High', 'Free', 'Year-Round']",16,65,1,10,2
disc golf (championship course),,1,150,,"Durham, NC","['Social', 'Game', 'Outdoor', 'Family-Friendly', 'Medium', 'Budget-Friendly', 'Year-Round']",5,99,1,5,2
orienteering event (advanced course),"Durham, NC",1,,,"Durham, NC","['Adventure', 'Game', 'Outdoor', 'Adults-Only', 'High', 'Budget-Friendly', 'Year-Round']",16,,1,5,3
caving/spelunking (organized tours - regional),"Durham, NC",2,10,,"Durham, NC","['Adventure', 'Meetup', 'Outdoor', 'Adults-Only', 'Medium', 'Budget-Friendly', 'Year-Round']",16,,1,10,4
whitewater rafting (day trip - nearby rivers),,2,48,,"Durham, NC","['Adventure', 'Meetup', 'Outdoor', 'Family-Friendly', 'High', 'Budget-Friendly', 'Spring']",8,,2,8,6
wine tasting at the wine feed,"Durham, NC",2,147,,"307 S Roxboro St, Durham, NC 27701","['Social', 'Meetup', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,,1,,1.5
wine tasting at uncorked,,2,224,,"105 W Morgan St, Durham, NC 27701","['Entertainment', 'Meetup', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,,1,,1.5
cooking class at durham co-op market,,2,50,,"537 Foster St, Durham, NC 27701","['Educational', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",18,,,,2
cooking class at southern season (chapel hill),,3,4,,"8100 Renaissance Pkwy Ste 120 Durham, NC 27713","['Educational', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Expensive', 'Year-Round']",18,,1,16,2.5
art workshop at the carrack modern art,"Durham, NC",1,,,"111 W Parrish St, Durham, NC 27701","['Educational', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",,,,,
art workshop at durham arts council,,2,10,,"120 Morris St, Durham, NC 27701","['Educational', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",16,,1,20,3
pottery night at claymakers,,2,27,,"602 E Main St, Durham, NC 27701","['Creative', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,,1,10,2
pottery class at the durham studio school,,2,,,"550 Foster St Suite 1, Durham, NC 27701","['Educational', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",16,,1,10,2.5
guided hike at eno river state park,,1,220,,"6101 Cole Mill Rd, Durham, NC 27705","['Educational', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",0,,1,15,2
guided hike with triangle land conservancy,"Durham, NC",1,,,"Triangle Land Conservancy, 121 N Churton St, Hillsborough, NC 27278","['Educational', 'Meetup', 'Outdoor', 'Family-Friendly', 'Low', 'Free', 'Year-Round']",,,,,2
ghost tour of downtown durham,,2,120,,"212 W Main St, Durham, NC 27701","['Entertainment', 'Seasonal', 'Outdoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",8,,1,25,1.5
tobacco road tours - haunted durham,,2,150,,"305 W Main St, Durham, NC 27701","['Entertainment', 'Seasonal', 'Outdoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",16,,1,,1.5
wine & design (paint & sip),,2,250,,"4810 Hope Valley Rd Ste 103, Durham, NC 27707","['Entertainment', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,,1,,2
ar workshop durham (diy crafts),,2,200,,"703 Ninth Street Suite 200, Durham, NC 27705","['Entertainment', 'Workshop', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",5,,1,30,3
bull city craft - workshops,,2,15,,"1125 W Chapel Hill St, Durham, NC 27707","['Educational', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",18,99,1,12,2
cooking at the kitchen specialist,"Durham, NC",2,12,,"213 W Main St, Durham, NC 27701","['Educational', 'Workshop', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",18,,1,12,2.5
eno river kayak tours (guided),,2,135,,"6101 Cole Mill Rd, Durham, NC 27705","['Adventure', 'Meetup', 'Outdoor', 'Family-Friendly', 'Medium', 'Budget-Friendly', 'Year-Round']",6,,1,10,2.5
fullsteam brewery tours & tastings,"Durham, NC",1,757,,"726 Rigsbee Ave, Durham, NC 27701","['Entertainment', 'Meetup', 'Indoor', 'Adults-Only', 'Low', 'Budget-Friendly', 'Year-Round']",21,,1,,1
